"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1966681568942145559","Sat Sep 13 01:53:19 +0000 2025","1","masih ada red velvet setelah itu girl groupnya sm emg tipe lagunya gedebag gedebug meskipun in a good way kyak aespa ya maksudnya. kyak kurang bisa hari2 dinyanyiin krn liriknya buat dance.","1966681568942145559","","","in","","0","0","0","https://x.com/undefined/status/1966681568942145559","1037638364906676224",
"1966671280955928736","Sat Sep 13 01:52:58 +0000 2025","0","@txtFromRoblox gas tuh map aespa dapet aksesoris @chocooopi3","1966681478387167741","","txtFromRoblox","in","","0","0","0","https://x.com/undefined/status/1966681478387167741","1197918488570073095",
"1966675232141570559","Sat Sep 13 01:52:40 +0000 2025","0","@671533 join mapnya aespa terus ikutin aja langkahnya ntar harus nonton aespa fashion shownya (agak lumayan si nunggunya)","1966681404898439526","","671533","in","","0","1","0","https://x.com/undefined/status/1966681404898439526","1405070265915039752",
"1966681355141738977","Sat Sep 13 01:52:28 +0000 2025","0","Anak aespa kaga ada yg maen drama yah","1966681355141738977","","","in","","0","0","0","https://x.com/undefined/status/1966681355141738977","1547931836617068545",
"1966681139629769014","Sat Sep 13 01:51:37 +0000 2025","0","ntar dh ngerjain free ugc aespa nya sambil cari tutor main takeover event nya gede gedean gt byk bgt free ugc nya plsss","1966681139629769014","","","in","","0","0","0","https://x.com/undefined/status/1966681139629769014","1255752332261744640",
"1966680882422403513","Sat Sep 13 01:50:36 +0000 2025","2","Emang stage presence aespa kureng sih. Gak betah liatnya. Mereka kek gak nyampe ke muka gitu feelnya. Gatau kenapa .","1966680882422403513","","","in","","0","0","0","https://x.com/undefined/status/1966680882422403513","1307078805324881920",
"1966660515930976497","Sat Sep 13 01:49:14 +0000 2025","0","@nsyahidoy aespa haechan ngejer bgt luvv jd persenan kita pasti turun. hitungannya total semua 100%","1966680541803016669","","nsyahidoy","in","","0","1","0","https://x.com/undefined/status/1966680541803016669","1948920662598582275",
"1966511276344934616","Sat Sep 13 01:43:35 +0000 2025","0","@zkhizk @aespa_official @GMA Kak ril udh greget bgt liatnya outfit dia jga gak match sma yg lain nangissss","1966679116670709952","","zkhizk","in","","0","0","0","https://x.com/undefined/status/1966679116670709952","1401520374794252291",
"1966677884845912491","Sat Sep 13 01:38:41 +0000 2025","0","Cungg yg dh dpt free ugc di map aespa inii? https://t.co/mJfYJOBxHX","1966677884845912491","https://pbs.twimg.com/media/G0sLGqTbcAEk2rN.jpg","","in","","0","3","0","https://x.com/undefined/status/1966677884845912491","1275773347356237824",
"1966677632914690214","Sat Sep 13 01:37:41 +0000 2025","0","wassup ro sudah dapat ugc aespa blm https://t.co/T6W0IWpAsE","1966677632914690214","https://pbs.twimg.com/media/G0sK4YxaEAANfxA.jpg","","in","","0","0","0","https://x.com/undefined/status/1966677632914690214","1665585166243500032",
"1966676994802020551","Sat Sep 13 01:37:36 +0000 2025","0","@tuxedoesnt Aku juga kurang tau sihh kaa tpi ini Aku dapet pas aespa nampil jam 06.00 pagi","1966677613768044686","","tuxedoesnt","in","","0","1","0","https://x.com/undefined/status/1966677613768044686","1684890402565046272",
"1966677403553738957","Sat Sep 13 01:36:46 +0000 2025","0","bjir aespa makin krisis nama ih kasian asspa aespo asepa aepsa spa ","1966677403553738957","","","in","","0","0","0","https://x.com/undefined/status/1966677403553738957","1418789115718365184",
"1966676994596249626","Sat Sep 13 01:35:09 +0000 2025","74","Siapa yang meet and greet sama Aespa di roblox pagi inii??","1966676994596249626","","","in","","0","2","0","https://x.com/undefined/status/1966676994596249626","256428722",
