title,link,publication_time,author,image_url,summary
Truk Pengangkut Minuman Soda Terperosok ke Sinkhole di Meksiko,https://www.liputan6.com/global/read/6159443/truk-pengangkut-minuman-soda-terperosok-ke-sinkhole-di-meksiko,2025-09-15T12:04:13+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/ou0_n2f-z1bV_LvIpJxomya8RFk=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5349081/original/047682400_1757911564-Screenshot_2025-09-15_114402.jpg,Apa penyebab truk ini bisa terperosok masuk ke dalam lubang besar di Meksiko?
Demo Gen Z Antarkan Sushila Karki Jadi PM Perempuan Pertama Nepal,https://www.liputan6.com/global/read/6158700/demo-gen-z-antarkan-sushila-karki-jadi-pm-perempuan-pertama-nepal,2025-09-14T07:02:00+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/WoLIn6_JUyebmr0LEi9r4XtaQ78=/57x0:637x327/1200x675/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5348201/original/083875700_1757791000-Untitled.jpg,"Bagaimana Karki, seorang perempuan paruh baya, dapat terpilih menjadi perdana menteri sementara Nepal?"
VIDEO: Ricuh! Protes Pro Palestina Hentikan Final Vuelta di Madrid | Enamplus,https://enamplus.liputan6.com/bola/read/6159281/video-ricuh-protes-pro-palestina-hentikan-final-vuelta-di-madrid,Tidak ada waktu,Yoga Nugraha,https://cdn0-production-images-kly.akamaized.net/mc3T4Agf3baMIw1yUs0e2Jz8Lig=/500x0/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/thumbnails/5348834/original/068842800_1757902741-ricuh-protes-pro-palestina-hentikan-final-vuelta-di-madrid-a24673.jpg,"Final etape Vuelta a Espaa 2025 ricuh setelah demonstran pro-Palestina memblokade rute balapan di Madrid, Minggu (14/9). Massa melempar barikade ke jalan dan membawa spanduk anti-Israel, memaksa para pebalap berhenti sebelum garis finis."
"Harga Emas Hari Ini Bisa Naik ke USD 3.675, Simak Analisisnya",https://www.liputan6.com/bisnis/read/6159350/harga-emas-hari-ini-bisa-naik-ke-usd-3675-simak-analisisnya,2025-09-15T11:00:08+07:00,Liputan6.com,https://cdn0-production-images-kly.akamaized.net/w2rOzNt81Hpq6w8LBpz_GNuhRnA=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/4723188/original/034031500_1705921925-fotor-ai-20240122181144.jpg,"Skenario alternatif yang perlu diwaspadai adalah jika harga gagal mempertahankan kenaikan dan justru mengalami koreksi, dengan potensi penurunan terdekat ke area USD 3.619."
Update Terbaru Harga Emas Perhiasan per 15 September 2025,https://www.liputan6.com/bisnis/read/6159310/update-terbaru-harga-emas-perhiasan-per-15-september-2025,2025-09-15T10:00:09+07:00,Liputan6.com,https://cdn0-production-images-kly.akamaized.net/fz7buTkfInZNajVw_e1LVnYln48=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5318362/original/017009900_1755481582-Gemini_Generated_Image_vl13nyvl13nyvl13.jpg,Pahami dinamika harga emas perhiasan yang dipengaruhi beragam faktor ekonomi global dan lokal. Simak update terbaru harga emas perhiasan dari Raja Emas dan Laku Emas per 15 September 2025 di sini!
Pimpinan Komisi X DPR Minta Presiden Prabowo Segera Tunjuk Menpora Baru,https://www.liputan6.com/news/read/6159544/pimpinan-komisi-x-dpr-minta-presiden-prabowo-segera-tunjuk-menpora-baru,2025-09-15T13:15:49+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/-AWisMuAST3CGic0hP_at5R_M-c=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5349218/original/058705600_1757916854-WhatsApp_Image_2025-09-15_at_13.13.34_a6c357fa.jpg,Wakil Ketua Komisi X DPR dari Fraksi PKB Lalu Hadrian Irfani meminta Presiden Prabowo Subianto segera mengumumkan dan melantik Menteri Pemuda dan Olahraga (Menpora) yang baru.
"Diskon Tambah Daya Listrik PLN  Berakhir 17 September, Begini Cara Klaimnya!",https://www.liputan6.com/bisnis/read/6159526/diskon-tambah-daya-listrik-pln-berakhir-17-september-begini-cara-klaimnya,2025-09-15T13:00:29+07:00,Liputan6.com,https://cdn0-production-images-kly.akamaized.net/Tqi_4AIZi5vzErPou4pU9NqoBqk=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/1630542/original/056622900_1498039155-20170621-PLN-Berikan-Diskon-Biaya-Penyambungan-Tambah-Daya-Antonius-3.jpg,PT PLN (Persero) menawarkan diskon tambah daya listrik hingga 50% melalui program Kado Listrik Ceria (KALCER) 2025 yang segera berakhir 17 September. Segera manfaatkan promo diskon tambah daya listrik PLN ini via PLN Mobile!
"Vika Kolesnaya Diprediksi Bersalin November 2025, Status Warga Negara Istri Billy Syahputra Disorot",https://www.liputan6.com/showbiz/read/6159302/vika-kolesnaya-diprediksi-bersalin-november-2025-status-warga-negara-istri-billy-syahputra-disorot,2025-09-15T12:00:00+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/1dPjy7kMUaFm2mCoQResHhFAMlE=/1x374:1080x982/1200x675/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5348836/original/064698500_1757902947-ClipDown.com_536149216_18672569230011649_1930765662361117681_n.jpg,"Vika Kolesnaya dan Billy Syahputra baru saja menggelar acara gender reveal yang meriah, mengumumkan bahwa mereka akan segera menyambut anak laki-laki pertama mereka pada akhir tahun 2025."
"Pasca-Gelombang Protes Besar-besaran, Situasi Nepal Berangsur Normal",https://www.liputan6.com/photo/read/6158465/pasca-gelombang-protes-besar-besaran-situasi-nepal-berangsur-normal,2025-09-13T15:45:00+07:00,Liputan6.com,https://cdn0-production-images-kly.akamaized.net/ybyhzEuOv0fH0JKdT0XnQqRQwnU=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5348032/original/061209400_1757752621-1.jpg,"Situasi keamanan di Kathmandu dan wilayah lain di Nepal berangsur kembali normal. Pihak berwenang setempat pada hari Sabtu 13 September 2025 telah mencabut pemberlakuan jam malam dan perintah pembatasan aktivitas warga di Lembah Kathmandu dan sejumlah wilayah lain di Nepal. Sejumlah pusat perbelanjaan kembali dibuka setelah tutup selama berhari-hari, sementara arus lalu lintas di Kathmandu, Nepal mulai kembali lancar. Sebelumnya, mantan Ketua Mahkamah Agung Sushila Karki pada Jumat (12/9/2025) resmi menjadi Perdana Menteri sekaligus menjadi perempuan pertama Nepal yang akan memimpin pemerintahan sementara. Sushila Karki akan memimpin masa transisi enam bulan ke depan menuju pemilu, setelah gelombang protes antikorupsi berdarah memaksa PM KP Sharma Oli mundur dari jabatannya."
"Daftar Pemenang Emmy Awards 2025: The Studio dan Adolescence Menang Besar, Cetak Sejarah Baru",https://www.liputan6.com/showbiz/read/6159421/daftar-pemenang-emmy-awards-2025-the-studio-dan-adolescence-menang-besar-cetak-sejarah-baru,2025-09-15T13:00:00+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/uR-7UR8EAlZj_9MxS-n4QrVQvY0=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5349069/original/015647700_1757910739-063_2235482749.jpg,The Studio sekaligus menjadi pemegang rekor sepanjang masa untuk serial komedi dengan penghargaan terbanyak yang diraih dalam satu kali penyelenggaraan Emmy Awards.
